Source,Destination,Time,Length,Protocol,Timestamp,Anomaly,Anomaly_Category,Protocol_Category,Request_Frequency,Source_Category
1,0,279,1288,1,2025-04-13 19:27:14.013270,0,Large Packet,ICMP,233,Bot Suspect
11,0,73340,618,0,2025-04-14 15:44:55.013270,0,Normal Size,Other,15,Normal
24,0,48845,524,1,2025-04-14 08:56:40.013270,0,Normal Size,ICMP,8,Normal
47,0,56264,982,1,2025-04-14 11:00:19.013270,0,Normal Size,ICMP,11,Normal
100,0,23019,501,0,2025-04-14 01:46:14.013270,1,Normal Size,Other,7,Normal
82,0,82711,723,1,2025-04-14 18:21:06.013270,0,Normal Size,ICMP,7,Normal
27,0,59676,1496,1,2025-04-14 11:57:11.013270,0,Large Packet,ICMP,3,Normal
68,0,44623,1060,0,2025-04-14 07:46:18.013270,0,Large Packet,Other,12,Normal
92,0,4425,1418,1,2025-04-13 20:36:20.013270,0,Large Packet,ICMP,20,Normal
100,0,71520,722,0,2025-04-14 15:14:35.013270,0,Normal Size,Other,7,Normal
1,0,107,1380,0,2025-04-13 19:24:22.013270,0,Large Packet,Other,233,Bot Suspect
57,0,23874,1408,0,2025-04-14 02:00:29.013270,0,Large Packet,Other,10,Normal
64,0,36397,1311,1,2025-04-14 05:29:12.013270,0,Large Packet,ICMP,8,Normal
92,0,24070,1458,0,2025-04-14 02:03:45.013270,0,Large Packet,Other,20,Normal
69,0,3093,716,0,2025-04-13 20:14:08.013270,0,Normal Size,Other,8,Normal
54,0,62483,935,0,2025-04-14 12:43:58.013270,0,Normal Size,Other,9,Normal
79,0,83186,904,0,2025-04-14 18:29:01.013270,0,Normal Size,Other,6,Normal
66,0,48302,737,1,2025-04-14 08:47:37.013270,0,Normal Size,ICMP,10,Normal
26,0,30027,1302,1,2025-04-14 03:43:02.013270,0,Large Packet,ICMP,10,Normal
72,0,74319,850,0,2025-04-14 16:01:14.013270,0,Normal Size,Other,8,Normal
1,0,192,524,1,2025-04-13 19:25:47.013270,0,Normal Size,ICMP,233,Bot Suspect
46,0,51571,753,0,2025-04-14 09:42:06.013270,0,Normal Size,Other,9,Normal
0,0,95,1034,0,2025-04-13 19:24:10.013270,0,Large Packet,Other,267,Bot Suspect
0,0,227,832,1,2025-04-13 19:26:22.013270,0,Normal Size,ICMP,267,Bot Suspect
6,0,81264,866,0,2025-04-14 17:56:59.013270,0,Normal Size,Other,13,Normal
81,0,8666,1380,1,2025-04-13 21:47:01.013270,0,Large Packet,ICMP,8,Normal
50,0,19956,906,0,2025-04-14 00:55:11.013270,0,Normal Size,Other,12,Normal
61,0,19097,1282,0,2025-04-14 00:40:52.013270,0,Large Packet,Other,19,Normal
74,0,48756,982,1,2025-04-14 08:55:11.013270,0,Normal Size,ICMP,10,Normal
14,0,20103,898,1,2025-04-14 00:57:38.013270,0,Normal Size,ICMP,13,Normal
